(0, 0, 0)
(1, 1, 1)
(2, 2, 2)
(1, 3, 3)
(2, 4, 4)
(3, 3, 5)
(4, 2, 6)
(5, 3, 7)
(6, 4, 8)
(7, 3, 9)
(8, 4, 10)
(9, 5, 11)
(10, 6, 12)
(11, 7, 11)
(12, 8, 12)
(13, 9, 13)
(14, 10, 12)
(15, 11, 13)
(14, 12, 14)
(14, 12, 15)
(15, 13, 16)
(16, 14, 17)
(17, 15, 16)
(18, 14, 17)
(19, 15, 18)
(20, 16, 19)
(21, 17, 20)
(20, 18, 21)
(21, 19, 22)
(22, 20, 23)
(23, 21, 24)
(24, 22, 24)
(25, 23, 24)
(26, 24, 25)
(27, 25, 26)
(26, 26, 27)
(25, 27, 28)
(26, 28, 29)
(27, 29, 30)
(28, 30, 31)
(29, 29, 32)
(30, 30, 33)
(31, 31, 34)
(32, 32, 35)
(33, 31, 36)
(34, 32, 37)
(35, 33, 37)
(36, 34, 37)
(37, 35, 37)
(38, 36, 37)
(39, 37, 37)
(40, 38, 38)
(41, 39, 37)
(42, 40, 37)
(43, 41, 37)
(44, 42, 37)
(45, 43, 37)
(46, 44, 36)
(47, 45, 37)
(48, 46, 37)
(49, 47, 38)
(50, 48, 37)
(51, 49, 37)
(52, 50, 37)
(53, 51, 37)
(54, 52, 37)
(55, 53, 37)
(56, 54, 37)
(57, 55, 37)
(57, 56, 37)
(57, 57, 37)
